Band #,Development,Site Banded,Nest# Banded,Nest Recipient,Nest Origin,Date,Julain Date,experimental?,Treatment Reared,Age (days),Sex,Brood#,Clutch Size Origin,Brood Size Reared,swapped?,Kid#,RWL,Tot. Mass,Cone,Net Mass,Mites?,D?,D No.,Plasma?,Feather?,Mother-Recipient,Mother-RecipientCort,Father-Recipient,Father-RecipientCort,Mother-Origin,Mother-OriginCort,Father-Origin,Father-OriginCort,Biol Mom,Biol MomCort,Biol Dad,Biol DadCort,Social Dad Genetic?,Fate,Notes,Plasma Date, Plasma Julain Date,Approach Time,Basline Time,StandardApproachTime,Latency Time,Latency Num,Stress Time,Elapsed Time,Elasped Num,[Baseline]  (ng/ml) ,ln [Baseline] ,[Stress] (ng/ml) ,ln [Stress] ,[Stress Response] (ng/ml),ln [Stress Response],Bird,date,patch,total.bright,avg.bright,hue,chrom
2391-83553,N,Fisher,27,FISH27,FISH27,6/22/2010,173,Y,increase,12,M,1,5,6,N,1,52.0,24.75,4.00,20.75,N,Y,10-257,Y,Y,2540-98630,y,2600-27228,y,2540-98630,y,2600-27228,y,2540-98630,y,2600-27228,y,Y,fledged,increased nest,6/22/2010,173,16:57:45,16:59:30,16.9625,0:01:45,1.750,17:15:06,0:17:21,17.350,2.908580,1.067665,27.573740,3.316864,24.665160,3.205392,239183553,62210,N,36543.454,18.299176,596.4233333,0.426612966
2391-83554,N,Fisher,27,FISH27,FISH27,6/22/2010,173,Y,increase,12,F,1,5,6,N,2,48.0,22.00,4.00,18.00,N,Y,10-258,Y,Y,2540-98630,y,2600-27228,y,2540-98630,y,2600-27228,y,2540-98630,y,2540-98711,y,N,fledged,,6/22/2010,173,16:57:45,17:00:30,16.9625,0:02:45,2.750,17:15:41,0:17:56,17.933,3.443700,1.236546,22.840800,3.128548,19.397100,2.965124,239183554,62210,N,79635.882,39.877758,628.15,0.375554816
2391-83555,N,Fisher,27,FISH27,FISH27,6/22/2010,173,Y,increase,12,F,1,5,6,N,3,50.0,20.75,4.00,16.75,N,Y,10-259,Y,Y,2540-98630,y,2600-27228,y,2540-98630,y,2600-27228,y,2540-98630,y,2540-98711,y,N,fledged,,6/22/2010,173,16:57:45,17:00:50,16.9625,0:03:05,3.083,17:16:50,0:19:05,19.083,,,33.367700,3.507588,,,239183555,62210,N,43183.234,21.624053,627.13,0.407885981
2391-83577,N,Fisher,31,FISH31,EMPI1,7/3/2010,184,Y,increase,12,M,1,4,6,Y,3,63.0,22.00,2.00,20.00,N,Y,10-301,Y,Y,2540-98915,y,2540-98914,y,2540-98657,y,2540-98647,y,2540-98657,y,2540-98647,y,Y,fledged,,7/3/2010,184,15:08:20,15:10:27,15.1389,0:02:07,2.117,15:28:04,0:19:44,19.733,3.413560,1.227756,42.349680,3.745961,38.936120,3.661922,239183577,70310,N,36991.867,18.523719,603.7233333,0.425324703
2391-83578,N,Fisher,31,FISH31,EMPI1,7/3/2010,184,Y,increase,12,F,1,4,6,Y,4,61.0,22.00,2.00,20.00,N,Y,10-302,Y,Y,2540-98915,y,2540-98914,y,2540-98657,y,2540-98647,y,2540-98657,y,2540-98647,y,Y,fledged,,7/3/2010,184,15:08:20,15:10:46,15.1389,0:02:26,2.433,15:29:35,0:21:15,21.250,3.738600,1.318711,39.970000,3.688129,36.231400,3.589926,239183578,70310,N,69188.64933,34.646294,627.7633333,0.331999307
2391-83641,N,Fisher,31,FISH31,FISH31,7/3/2010,184,Y,increase,12,F,1,4,6,N,1,54.5,21.00,2.00,19.00,N,Y,10-081,Y,Y,2540-98915,Y,2540-98914,Y,2540-98915,Y,2540-98914,Y,2540-98915,Y,2540-98914,Y,Y,fledged,,7/3/2010,184,15:08:20,15:09:23,15.1389,0:01:03,1.050,15:25:16,0:16:56,16.933,1.327060,0.282966,26.253000,3.267780,24.925940,3.215909,239183641,70310,N,47072.76433,23.571740,602.06,0.433630118
2391-83642,N,Fisher,31,FISH31,FISH31,7/3/2010,184,Y,increase,12,F,1,4,6,N,2,52.0,18.00,2.00,16.00,N,Y,10-082,Y,Y,2540-98915,Y,2540-98914,Y,2540-98915,Y,2540-98914,Y,2540-98915,Y,2540-98914,Y,Y,fledged,baseline blood for 2 and 3 may be mixed up,7/3/2010,184,15:08:20,15:10:06,15.1389,0:01:46,1.767,15:26:13,0:17:53,17.883,13.613000,2.611025,29.188780,3.373784,15.575780,2.745717,239183642,70310,N,50644.04933,25.360065,584.71,0.410202297
2391-83643,N,Fisher,31,FISH31,FISH31,7/3/2010,184,Y,increase,12,F,1,4,6,N,5,59.0,22.00,2.00,20.00,N,Y,10-083,Y,Y,2540-98915,Y,2540-98914,Y,2540-98915,Y,2540-98914,Y,2540-98915,Y,2540-98914,Y,Y,fledged,,7/3/2010,184,15:08:20,15:11:32,15.1389,0:03:12,3.200,15:26:14,0:17:54,17.900,,,30.181720,3.407236,,,239183643,70310,N,38051.68533,19.054424,638.4166667,0.355200182
2391-83644,N,Fisher,31,FISH31,FISH31,7/3/2010,184,Y,increase,12,M,1,4,6,N,6,56.0,20.75,2.00,18.75,N,Y,10-084,Y,Y,2540-98915,Y,2540-98914,Y,2540-98915,Y,2540-98914,Y,2540-98915,Y,2540-98914,Y,Y,fledged,,7/3/2010,184,15:08:20,15:11:40,15.1389,0:03:20,3.333,15:31:15,0:22:55,22.917,,,35.237300,3.562105,,,239183644,70310,N,62225.17,31.159324,616.1233333,0.36614286
2391-90801,N,Fisher,36,FISH36,FISH36,6/23/2010,174,Y,decrease,12,M,1,6,4,N,1,51.5,22.00,3.50,18.50,N,Y,10-158,Y,Y,2540-98618,y,2540-98711,y,2540-98618,y,2540-98711,y,2540-98618,y,,n,N,fledged,,6/23/2010,174,11:29:14,11:30:55,11.4872,0:01:41,1.683,11:45:10,0:15:56,15.933,2.506820,0.919015,25.317280,3.231487,22.810460,3.127219,239190801,62310,N,48306.26233,24.189415,647.0633333,0.430061422
2391-90802,N,Fisher,36,FISH36,FISH36,6/23/2010,174,Y,decrease,12,M,1,6,4,N,2,49.0,20.00,3.50,16.50,N,Y,10-159,Y,Y,2540-98618,y,2540-98711,y,2540-98618,y,2540-98711,y,2540-98618,y,,n,N,fledged,,6/23/2010,174,11:29:14,11:31:15,11.4872,0:02:01,2.017,11:46:30,0:17:16,17.267,4.487400,1.501273,37.852380,3.633694,33.364980,3.507507,239190802,62310,N,37147.65967,18.601732,580.7466667,0.44172931
2391-90803,N,Fisher,36,FISH36,FISH36,6/23/2010,174,Y,decrease,12,F,1,6,4,N,3,56.0,21.75,3.50,18.25,Y,Y,10-160,Y,Y,2540-98618,y,2540-98711,y,2540-98618,y,2540-98711,y,2540-98618,y,2600-27228,y,N,fledged,,6/23/2010,174,11:29:14,11:31:48,11.4872,0:02:34,2.567,11:45:10,0:15:56,15.933,3.326060,1.201788,19.382940,2.964393,16.056880,2.776137,239190803,62310,N,56405.07833,28.244907,624.4466667,0.392588976
2391-83891,N,Fisher,38,FISH38,SCHA24,6/24/2010,175,Y,increase,12,F,1,5,4,Y,2,47.0,24.00,3.50,20.50,N,Y,10-173,Y,Y,2540-44595,y,2540-98717,y,2540-44550,y,2540-44725,y,2540-44550,y,2351-05656,y,N,fledged,,6/24/2010,175,13:18:30,13:19:40,13.3083,0:01:10,1.167,13:34:34,0:16:04,16.067,3.038400,1.111331,26.103000,3.262050,23.064600,3.138299,239183891,62410,N,46283.12167,23.176325,642.3933333,0.399745417
2391-90808,N,Fisher,38,FISH38,FISH38,6/24/2010,175,Y,increase,12,M,1,5,4,N,1,52.0,23.50,3.50,20.00,N,Y,10-162,Y,Y,2540-44595,y,2540-98717,y,2540-44595,y,2540-98717,y,2540-44595,y,,n,N,fledged,increaed by 2 chikcs,6/24/2010,175,13:18:30,13:19:56,13.3083,0:01:26,1.433,13:35:15,0:16:45,16.750,4.221880,1.440281,16.916740,2.828304,12.694860,2.541197,239190808,62410,N,46068.892,23.069050,622.1333333,0.40952477
2391-90809,N,Fisher,38,FISH38,FISH38,6/24/2010,175,Y,increase,12,F,1,5,4,N,3,49.0,23.00,3.00,20.00,N,Y,10-163,Y,Y,2540-44595,y,2540-98717,y,2540-44595,y,2540-98717,y,2540-44595,y,,n,N,fledged,,6/24/2010,175,13:18:30,13:20:30,13.3083,0:02:00,2.000,13:36:02,0:17:32,17.533,3.992980,1.384538,21.486000,3.067402,17.493020,2.861802,239190809,62410,N,33582.40767,16.816428,681.1,0.383302942
